Product Name,brand,details,Price,Old Price,image URL,is_from_official_store,items_left
"Vitron HTC3200S, 32"" Smart Frameless Android LED TV, With Bluetooth, (1YR WRTY)",,,"KSh 10,878","KSh 13,846","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,98 items left
Em ElectroMate Water Dispenser With Hot And Normal Water,,,"KSh 2,449","KSh 4,599","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,98 items left
"Vitron V527 - 2.1 CH Multimedia Speaker, BT/USB/SD/FM - 9000W (1YR WRTY)",,,"KSh 5,399","KSh 6,607","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,97 items left
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black (1YR WRTY)",,,"KSh 17,913","KSh 28,599","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,100 items left
Simple Kind To Skin Replenishing Rich Moisturiser,,,KSh 840,"KSh 1,199","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,37 items left
Simple Kind To Skin Hydrating Light Moist 125ML,,,KSh 840,"KSh 1,199","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,24 items left
Multi-port USB Hub High-speed Portable USB 2.0 Splitter For Laptop PC,,,KSh 379,KSh 538,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,53 items left
Dove Pampering Care Lotion 1X250Ml,,,KSh 545,NaN,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,23 items left
UK Plug 4 USB Ports Chargers Universal Power Adapter Wall Travel Fast Charger,,,KSh 342,KSh 714,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,58 items left
Simple Kind To Skin Refreshing Facial Wash Gel,,,KSh 980,"KSh 1,399","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,26 items left
